#2804:14c:7f4c::/48,budget:5000000
target:4999997,active:824,hitrate:0.00016480009888005933,duration:1082.6070590019226

#2409:8920:2900::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1177.0737147331238

#2804:54a0:1d00::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1172.90940117836

#2a02:88d:2::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1157.746721982956

#2a06:bdc7:19::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1164.4438652992249

#2607:fb90:2e00::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1177.8368332386017

#2800:560:8000::/33,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1230.2425100803375

#2620:115:4::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1162.366278886795

#2a10:3140::/29,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1205.7961792945862

#2804:511c:8000::/33,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1206.4710457324982

#2409:8931:c610::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1156.2127094268799

#2800:98:110f::/48,budget:5000000
target:4999997,active:62,hitrate:1.2400007440004464e-05,duration:1141.1930813789368

#2804:69f0::/32,budget:5000000
target:4999996,active:12,hitrate:2.400001920001536e-06,duration:1174.1249423027039

#2804:14c:100::/40,budget:5000000
target:4999999,active:2120,hitrate:0.00042400008480001695,duration:1102.9655408859253

#2401:7b40:4208::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1163.116620540619

#2800:bf0:80ec::/48,budget:5000000
target:4999997,active:23,hitrate:4.600002760001656e-06,duration:1159.5021975040436

#2001:fd8:390::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1165.578171491623

#2408:8256:1572::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1163.248006105423

#2804:3c28::/38,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1176.7472150325775

